Sentence,Sentiment,TestRandomSentiment,TestVaderSentiment,TestKerasSentiment
last ever uk tour x,0,1,0,0
snap im reality show watch first im hooked sad,-1,0,-1,-1
well get need fix,-1,1,1,0
man test play cod day till summer,-1,1,1,0
miss someone,-1,0,-1,-1
cant seem sleep tonight need get less hour,-1,-1,0,-1
aw frank like movie cool dont fully understand think thats cool,0,-1,1,0
hair grow back,0,-1,0,0
longer peep,0,1,0,-1
dont need,0,-1,0,0
file sweetie,0,1,1,0
paramore great song love,1,1,1,1
sky man quite like joey still annoyed get woke half eight though,0,-1,0,0
awesome night ahead bad v rat city favorite one track fb,1,-1,1,0
milkshake morning afternoon fresh fun,1,-1,1,1
ily lmfao,1,0,1,1
miss,-1,0,-1,-1
happen quit,0,0,0,0
well suck except company go kelly,-1,0,-1,-1
watch ace cake use alot ya spell,0,1,0,0
anyone else go train trip national train day leave comment adventure site,0,0,1,0
great home temp chill cat great feel awesome,1,0,1,1
try battle c really good,0,0,1,1
im church smoothie bc might melt come back,0,1,0,0
ur awesome think u u would sooo write back lil something cross finger,1,0,1,1
long farewell super amaze day im go sleep,1,1,1,1
sleep wouldve home sooner accidentally kill way home,-1,1,-1,-1
need haircut able pull hair,0,-1,0,0
bad im sit watch pen get excite think coffee know,0,0,-1,0
try reply lake tweet dunno happen say know lake well,0,1,1,0
know hd comcast doesnt,0,1,0,-1
eye wide shut one movie ive see wan na sell sleep apt,0,0,-1,0
people r weird,-1,0,-1,-1
happy birthday congrats wish take care,1,0,1,1
another amaze day ever since get twitter ive great day,1,0,1,1
make pin hole camera need get film,0,1,0,0
hello back work today week vacation,0,1,0,0
wish couldve go today know look forward,1,1,1,0
come next week buying drink,0,-1,0,0
funny didnt even know,1,0,1,1
morning miss sarah cyrus whats x,0,0,-1,0
gosh today suck didnt get tax return im upset cuz miss best friend wedding,-1,1,1,-1
okay weather isnt cute friendly dont get could warm one minute cold next freeze,0,0,-1,0
basically want world kno best best friend love,1,0,1,1
link,0,0,0,0
sigh,0,0,0,0
still feelin like blah hour,-1,-1,1,-1
im deep disgust would even take little help ala sense never happen,-1,1,-1,-1
id suggest generally stand parent teacher u might confuse tweeps,0,1,1,0
mix air,0,0,0,0
come gig dublin dance partner think hehe,0,0,0,0
look forward next wednesday,-1,1,0,0
lol still would get look face case,0,1,1,0
oh suppose go see star trek sun least,0,1,0,0
spell,0,0,0,0
good luck oh play mixed week play pro yr old son play top woman,1,1,1,1
back drive back bed,0,0,0,0
mean b go bed earlier monday,0,0,0,0
hope everything ok fix,1,0,1,1
_ try send direct message cant arent follow,0,1,0,0
dad ask stick tongue iron told didnt burn finger burnt finger,-1,-1,0,-1
ok delete message hope dont come back,0,0,1,0
work still feel pain friend wish magic,-1,-1,-1,-1
cleaning pack move house go long weekend,-1,-1,0,0
tonight last jay leno late show,0,1,0,0
new im im cool,1,1,1,1
love idea give year theme year new,1,0,1,1
think way promote indie designer moi thought indie say,1,1,1,1
didnt sleep good last night woke another whats wrong,-1,1,-1,-1
back weekend another week bring lol,1,0,1,0
see,0,-1,0,0
miss friggin hair appt,-1,0,-1,-1
get home get,0,1,0,0
sir amaze woke morning,0,0,1,1
watch online last episode,0,-1,0,0
wow seem like since change home phone n workin week,0,1,1,0
joke surely,0,1,1,0
thank much fantastic day,1,-1,1,1
cool get,0,-1,1,1
im soooo want try weekend lang ako,1,1,1,1
lovely plan cancel night another night home alone,1,-1,1,1
morning hope everyone great bank holiday,1,-1,1,1
dad tell travel alone problem ive do boring,-1,0,-1,-1
job much,0,-1,0,0
mom friend drinking,1,1,1,0
go get blood take,0,1,0,0
much sleep still tire,-1,1,0,-1
work get coffee,0,-1,0,0
tree lawn,0,0,0,0
back kill stupid softball,-1,-1,-1,-1
couldnt sleep today either hard stay asleep reason,-1,1,-1,-1
oh im sorry cant even know reality soon,-1,1,-1,-1
love mile run make smile,1,-1,1,1
much love texas dislike needle could,0,0,1,0
lmao haha nice lolz good though wait lol,1,-1,1,1
drag work miss fitness class morn need one weekend day,-1,1,-1,-1
saw make sooo good,1,0,1,1
race totally lose rip,-1,-1,-1,-1
watch everything,1,1,0,0
besties twitpic besties,0,-1,0,0
wtf whats enjoy though,1,0,-1,0
hungover never hungover dont know think may new la home,0,0,0,0
really dont want service take airport want ok soft moment dont get use,0,0,1,0
new album winner everybody take listen fact,1,0,1,1
im sometimes kind day need relax,1,1,1,1
enjoy nice weather stuck write essay,0,1,1,0
im back want press release,1,-1,1,0
grateful daughter happy mother day thank everything always,1,0,1,1
make dont bed much room make im outta space sure lol know im pathetic,-1,-1,1,-1
post,0,0,0,0
sound nice download lol,1,0,1,1
look nice never knew short life hope fav dead,1,-1,1,1
power cant love storm,1,1,-1,1
metro joe st close many cop wth happen walk home bus cant go ohh,0,1,-1,0
cant wait see,1,1,0,0
ahh sore throat tire want go back bed work,-1,0,-1,-1
time bed,0,1,0,0
lovely morning cycle work met degree office,1,0,1,1
everyone follow amaze,1,1,1,1
youre jealous guess youll walk around office tomorrow,-1,0,-1,-1
get new buddy kitchen gon na smell,-1,0,0,0
start twitter feed time go bed nighty night sure go tweetup meet,0,0,1,0
oh add rd nite dublin october,1,-1,0,0
oh voting dont worry already vote time earlier,1,1,1,1
really cool,1,-1,1,1
yeah imagine,0,-1,1,0
like able say truth instead magical mystery tour get lead,1,0,1,1
omg best roast ever im full haha,1,0,1,1
get ready go comedy club listen who skype right need outfit,0,-1,1,0
party great time get paranoid yay,1,0,1,1
leak water new floor,-1,-1,-1,-1
early,0,-1,0,0
cleaning,0,0,0,0
wish could take pillow school dead serious,0,-1,-1,0
omg maddie dead gutted love really want maddie get together,-1,0,1,-1
beer work hour,0,0,0,0
wow scary,-1,1,1,-1
nvm ill stop whatever see th guess,0,-1,-1,0
light presentation time,0,0,0,0
know crazy love use see yt recently partner,1,1,1,1
head hurt bad could scream,-1,1,-1,-1
think,0,-1,0,0
sadly david left dont particularly want job anyway,-1,-1,-1,-1
bed,0,0,0,0
feel quite quite sure though go bed night everyone x,-1,-1,1,1
well run cat today know sad cry scream lung felt horrible poor thing,-1,1,-1,-1
finally home big travel ahhhhhh time,1,0,0,0
whatever u want u wear stick show around brooklyn,0,1,1,0
aww use little much lazy,-1,1,-1,-1
people please add friend line,0,1,1,0
miss da bus,0,1,-1,-1
stomach ache totally suck,-1,0,-1,-1
assignment,0,-1,0,0
found ten one story plain include one run sentence happens day,0,-1,1,0
isnt bit little britain u,0,-1,0,-1
well andy dont think date,-1,-1,1,0
youre theatre develop thick skin audition since gotten part,0,-1,0,0
night continue w fav robin,0,0,1,0
one load wash put away another load amaze house doesnt look well effort,-1,1,1,0
holy rain la dont jacket oh,-1,-1,0,0
see fat single mum road across poor probably need new,-1,1,-1,-1
omg tweet till k tweet difference b,0,-1,0,0
cant sleep dont deserve n know,-1,0,0,-1
good morning everyone enjoy day think tweet friend,1,0,1,1
buy yay go well,1,-1,1,1
closest good two hour,0,0,1,0
twitter th twitter haha,0,-1,1,0
good day day bed nite tweeps,1,-1,1,1
im lovin first lady dress want arm,1,0,1,1
edit photo take brother soccer game he get lot work coach,0,1,0,0
life know doesnt exist anymore,-1,1,0,-1
sunburn line back tag stick tank top day ugh need go park,0,0,-1,-1
virus hunt computer always wonder,-1,-1,-1,-1
right time happy face,1,0,1,1
im worried great job quite nice way spend day,1,0,1,0
im,0,1,0,0
he mother favorite hard tell,0,-1,1,0
start week wedding end week funeral,0,0,-1,0
get back scan wow amaze cry haha,0,-1,1,0
hi grab coffee would love catch jordan,1,1,1,1
goodnight everyone happy mother day mother,1,1,1,1
late,-1,0,0,0
get home show opening fantastic thanks everyone come,1,-1,1,1
unfortunately fix didnt work oh well im lovin anyways,0,1,-1,-1
excite new push daisy episode make much bad finally gotten,0,0,-1,0
go bubble bath always relax,1,1,1,1
time really fly mission go abt time bring sexy yu jacket,0,-1,1,0
wan na play tonight pout pout side face,1,-1,1,0
yay jack ive remember friday meaning work tomorrow,1,0,1,1
yeah nite go see star trek cant remember say car,0,1,1,0
jealous right new england weather,-1,0,-1,-1
swear mine evil green everything lol,0,0,-1,0
feel great still miss,-1,1,1,-1
earlier im home im ok ipod,1,-1,1,0
nothing important like look like old actually,1,0,-1,1
omg slept like hr last hr think im die something reminds,-1,1,-1,-1
cause wasnt,0,-1,0,0
omg miss bus walk mile coffee go see,-1,0,-1,-1
get home rosie surprise smile hug kiss wait,1,0,1,1
way home sleep,0,-1,0,0
also anyone else today ive awake min already,-1,-1,0,0
funeral today go bad,-1,1,-1,-1
tv bust screen turn white make quick pop sound,-1,0,0,-1
morning hope super,1,-1,1,1
yes make obama,1,1,1,0
sure rainy storm left everything everywhere would love u follow u,0,1,1,1
yea,0,0,0,0
doesnt seem work client linux,-1,1,0,0
another miss next,-1,1,-1,-1
forgot fridge last night yay,1,1,1,1
nah next week honey fault u,-1,0,-1,-1
yah leave monday ill go youre chi,1,0,-1,1
woke early still sick,-1,0,-1,-1
oooh time ive found seat bbq right front food,0,-1,0,0
happy mother day make u cake remember u love,1,0,1,1
lol ok get ta get folk microsoft live wa hire,0,1,1,0
oooh im sorry late smash,-1,0,-1,-1
go school im actually tire today tho,1,-1,0,-1
dad joe drank nearly ice tea bit left quite tbh,-1,0,0,0
beard address week,0,1,0,0
look phone like try find feel,0,0,1,-1
rat run steve way avoid long delay bruce highway,-1,0,-1,-1
alone im gutted miss,-1,0,-1,-1
thrown window get someone attention,0,0,0,0
back empty apartment,0,0,-1,0
think niece get lame,-1,1,-1,-1
probably hate happens,-1,0,-1,-1
instead lay degree ive get ta give fourth grader hour fml,-1,0,0,-1
finish zombie day ago need something new gym,0,1,-1,0
want come kiss justice,1,1,1,1
another take met u see real sleep,-1,0,-1,0
drop gasp whatever u mean im sweet pie allow im coach im cancer u,1,1,-1,1
instal youtube anyone know make trailer video,0,-1,0,0
way bought today aswell twice co pre order aswell later x,0,1,0,0
aww miss u havent ate,-1,1,-1,-1
ok day old love curve everyone,1,1,1,1
french paper,0,0,0,0
im kinda tire enough sleep get sing along haha,-1,-1,1,-1
didnt know wedding arent suppose btw know,0,0,0,0
want change twitter name cant think anything,0,0,1,0
one female server tell look big pant worry night long lol,-1,1,0,-1
look like might rain,0,0,1,0
super high bar thee business,1,1,1,1
didnt hit right button write tho thought cafe button im sorry,-1,-1,-1,-1
train tokyo gf visit japan since thursday,0,1,0,0
call didnt answer,0,1,0,0
say gud eve guy let play poker yeah cant read poker face,1,-1,1,1
ooooh lol didnt know fun princess,1,1,0,1
guy figure saturday really want go mom sick take hospital tampa,-1,0,-1,-1
yeah need sick,-1,-1,-1,-1
im,0,1,0,0
r bacon look like poop,0,0,1,0
stop twitter cooky bgt,0,-1,-1,0
ii wan na go home thee weekend ii gas __,-1,0,0,-1
soooo need catch new stuff go airport fly home vega,0,-1,0,0
need weekend work instead,1,-1,1,0
haha yeah heard home self movie candy pizza amaze even,1,-1,1,1
want get hand dirty document yet complete,-1,1,1,-1
really im less k ang,0,-1,-1,0
im listen random playlist,0,0,0,0
hey bought cable piece set new lead light near oh im happy,1,1,1,1
omg shut sorry still vent person who annoy none swear,-1,0,-1,-1
slept,0,-1,0,0
rain bring back memory,0,0,0,0
go,0,-1,0,0
ahhh he thing ever plus reminds twilight good cause much,1,-1,1,1
yes indeed,0,0,1,0
thank well see long take finish thing,0,0,1,1
come hawk,0,0,0,0
go tonight,0,1,0,0
wont let watch since im state boo,-1,-1,0,-1
daughter go bday party today grace little girl name grace make cupcake,0,-1,1,0
guy didnt call come something def give u call tomorrow hang u chick,0,1,0,0
omg hollyoaks well,-1,-1,1,0
would think youd want follow,0,1,1,0
im use x run fast cant afford c unfortunately yet,-1,0,-1,-1
certain tweet write spot message person group tweet usually get delete within hour,0,-1,1,0
u suck go jail couldnt tweet anymore,-1,0,-1,-1
realize solid well,1,0,1,1
k hack direction multiple social net site think cool add go,0,1,1,0
leave twitter alone night barcelona back philly tomorrow hope u great friday,1,-1,1,1
yay ill heart shout sec,0,1,1,0
yay busy good,1,1,1,1
lol seriously fail sigh,-1,-1,-1,-1
wow one nice patient ive ever he,1,1,1,1
building website,0,0,0,0
love sunday especially f still pjs plan get time soon,1,1,1,1
im sure repeat soon seem tv quite lot lately glad mention last night watch,1,1,1,1
youve feature,0,0,0,0
watch beauty beast haha,1,1,1,0
get ta shower go apply job hopefully creepy old men work today,0,-1,1,0
_,0,1,0,0
felt one tooth without get soooo,-1,1,0,-1
playin living room think world go lovely life fb,1,1,1,1
wish could one go conference next week,1,-1,1,1
call get math test result hell yes,1,-1,-1,0
heh heh odd amuse thanks,1,0,1,1
would get lot do could list item etsy phone everything upload pic,0,0,0,0
time bed oh wish someone lay next,-1,1,1,0
hair straight lmao,0,1,1,0
hello new follower say hi say nice meet,1,0,1,1
im sick wasnt id show ya,-1,-1,-1,-1
give pedicure ahhh ive miss nice pretty nail,1,1,1,0
look couldnt find crowd,0,-1,0,0
hope weekend fabulous anything interest,1,1,1,1
aw level haha try manage money,0,1,1,0
wan na come go party,0,-1,1,0
problem,1,0,-1,-1
hi charlie thank follow nice know there another new world,1,0,1,1
oh use external email fb,-1,0,0,0
amaze thing keep online conversation one place unfortunately place google,0,-1,1,0
get home love shake milkshake,1,-1,1,1
yes see tonight delicious dinner chef hope see,1,0,1,1
tire today think gon na take nap friend come miss wish already,-1,0,1,-1
ill believe see,1,1,-1,0
im draw picture show much miss anyone blame he hour away frm,-1,-1,-1,-1
slightly burnt proof eatin though,-1,-1,0,-1
cant im study dont fail come ill make u chicken chicken salad,0,-1,1,-1
piss let follow,-1,1,-1,-1
thanks cheer back,1,-1,1,1
wait last minute run experiment aka dont get leave work time,0,-1,0,-1
cant help im,0,0,-1,0
record new song,0,1,0,0
lol trash kitchen,-1,1,1,0
oh thank god sad im happy,0,1,1,0
kudos love homemade french toast,1,1,1,1
thx day festival band ga cant must wait sit concert,-1,1,1,0
alot new picture tweet really old new check new one wish,0,-1,1,0
bros back prom,0,1,0,0
sweet england become since guy left,0,1,-1,0
happy mother day,1,-1,1,1
work fine far know maybe send tweet,0,0,1,0
oo high five fan finally ill write fancy news post shortly want get mod asap,1,-1,-1,1
cant judge book look cover,0,1,0,0
yummy chocolate even get one bday anybody listen,1,0,1,1
hubby snore still love,0,0,1,1
great interview video favorite youtube,1,-1,1,1
found leave lovely flat wait hour still job news good day,0,0,1,1
im bore,-1,0,-1,-1
ya could hit aim cause mad bore,-1,0,-1,-1
week tomorrow since give dont want talk,1,-1,-1,0
already crazy morning,0,1,-1,0
sale im broke life isnt fair,-1,-1,-1,-1
wish hadnt,-1,-1,1,1
finally make jp corner oreo soft serve,1,-1,1,1
hello hows life side screen,0,0,0,0
go crazy pain get ta wait till thursday,-1,0,-1,-1
make parent add u guy family impressed song,1,1,1,1
receive excellent birthday present party usual success,1,1,1,1
nothin well car sister th lady gaga loud cant hear lyric,1,-1,1,1
early wish could sleep today,1,-1,1,0
take good,1,-1,1,1
would dont know phone,0,0,0,0
aww man arrive,0,0,0,0
haha,0,-1,1,0
anyone update google look like ive miss,0,1,1,0
ahh thats go year old fact good old radio one exam tomorrow,1,-1,1,0
havent one week really mean joke played,-1,0,1,0
hear sister,0,1,0,0
win upon weather,1,-1,1,0
u bring like,0,1,1,0
get well,1,1,1,0
hate,-1,-1,-1,-1
love mom shes best mom planet,1,0,1,1
really cute one favorite,1,-1,1,1
def rubbish tonight,-1,1,0,-1
expect content site realize reach flash lol,0,1,1,0
wish bed,0,1,1,1
class cry,-1,0,-1,-1
im go inlaws tonight hopefully new niece need kid inlaws,1,1,1,0
im struggle woke im run sleep,-1,1,-1,-1
love new twitter two haha,1,-1,1,1
ahh yes vampire kept away im back try update much lose,-1,1,0,-1
would im afraid get two left foot,-1,1,0,-1
heyyy tweet go shout bc list always amaze,1,-1,1,1
open office writer weird need word open word document,-1,-1,-1,-1
recommend net guess since bought something feature hopefully brings business,1,0,1,1
go bed busy day mother day te amo,1,0,0,1
haha im convince youd great,1,1,1,1
lesson finally do tomorrow morning look forward speak high date,1,-1,0,0
get home good time cant wait birthday day,1,-1,1,1
ate ate usually im ew full content full ew full,0,1,0,0
talk today oh problem problem problem love money math enough,-1,1,-1,-1
almost do first day miss place head close casa de,0,-1,-1,-1
low point poor outside building isnt fly wander sidewalk sad,-1,-1,-1,-1
yeah need haircut,-1,0,-1,0
wish lay side wasnt comfortable position tire lay,-1,0,0,-1
hate pc,-1,1,-1,-1
ohhh someone like play food,1,0,1,1
cool,0,-1,1,1
im actually start quite like lily allen music honest,1,1,1,1
thats great force miss leave work,0,-1,1,0
like,1,1,1,0
refuse accept u holiday head um,-1,-1,1,-1
success much grumble abt always waste money useless gift mum see ipod love,0,-1,1,0
adam new moon good even bad cable friday,-1,0,-1,0
woke early dang man know im go back sleep,0,0,0,0
hearing sing come beautiful person id ever see feel bad first impression though,0,0,1,0
watch star trek well do think im see want join,1,0,1,0
lol nah course youll get dvd first since youve already order ill sign bebo tuesday lol,0,-1,1,0
u watch hill london u realise week week late watch,-1,0,0,0
two load move crew do start im do day bad ac doesnt work new place oh life,-1,0,-1,-1
yeah sad,-1,0,-1,-1
diego know lo jack,0,1,0,0
u post thing go,1,-1,0,0
pretty good kind depress though,0,-1,1,0
everybody awake well everybody u know mean friend haha im fun aim,1,0,1,1
great night,1,-1,1,1
heyy im feel good cuz wat happen yesterday car,-1,-1,1,0
well lol,0,0,1,0
wait kenny,0,-1,0,0
oh little bit taco,-1,1,0,0
new forest hop walk would lose pound,1,0,-1,1
yep think might make decision go head first may witness moment real talk,0,0,1,0
ran hair first full baby almost set hair fire get rid almost,0,0,-1,0
unfortunately didnt purpose itunes shuffle follow,-1,-1,-1,-1
mmmm bakery,0,0,0,0
get haircut happy,-1,0,1,-1
already miss,-1,1,-1,-1
laugh today hopeful thing,-1,-1,1,0
cake sure look good take one ok ummm good,1,0,1,1
amaze time,0,1,1,1
wow awesome review carry everywhere read plain cool,1,0,1,1
listen sweet talk cute aim consider take color miss,-1,-1,1,0
watch men volleyball tv reason good woman beach volleyball cant quite place,-1,1,1,-1
man aint without v presence feel like lil kid momma,0,-1,1,-1
back drunk much love hate make feel,0,-1,-1,0
youre welcome wonderful day outta trouble ready crash party lol,1,-1,1,1
mom think category,0,-1,0,0
sound like great way start mother day enjoy day,1,0,1,1
sooo wake way back sb good night america,1,-1,1,1
love guy get australia december birthday,1,-1,1,1
really fancy starbucks right,1,1,0,1
sad economy heard another friend lose job sad reminder,-1,0,-1,-1
ok thunder scar,-1,-1,1,-1
least next year big wide world,0,0,0,0
love read love film make,1,0,1,1
hate tweetdeck reach access limit,-1,-1,-1,-1
next week exam wise awful exam dont see revise care least,-1,0,1,-1
haha ashley tisdale,0,1,1,0
dang miss goodnight,-1,1,-1,-1
today well panda cheer dont know happy like legit happy,1,0,-1,1
_ time,0,-1,0,0
tummy hurt blame last night chinese food,-1,0,-1,-1
glad nice gray sky rainy,1,-1,1,1
mmmm yes please,0,-1,1,0
forward email cool science event friend thought sydney wrong place,-1,0,1,-1
ah finish make tea tomorrow night,0,1,0,0
one moment woke,0,0,0,0
look talk,0,-1,-1,0
thats get write interview w darn late contest,-1,0,0,-1
slept miss bus train delayed doesnt stop stop late work,-1,-1,1,-1
keep get pet day heard weekend fab wedding soon,1,1,1,1
happy mother day,1,1,1,1
law assembly action require u ask enter school u still need fill application,0,0,1,0
actually drove today report quote ice cube today good day,1,1,1,1
conference call pm today blew leave early window,0,-1,-1,0
want another shake,-1,1,-1,0
im sit bus dublin listen must know,1,1,0,0
day text message month,0,1,0,0
need coffee new day lie,0,-1,0,0
im fat sad,-1,-1,-1,-1
sadly song library,-1,0,-1,-1
good luck still get wireless work post,1,-1,1,1
say modem dead want buy new one sign one year contract argh,-1,-1,-1,-1
yes imagine need morning coffee otherwise function good relax sunday,0,1,1,0
come add new twitter fan,0,0,1,0
currently coffee im like place sat business lounge ooo today,1,1,1,1
last night suck many bad dream spider,-1,1,-1,-1
course cough mean hour extra test time,0,1,0,0
would fun soooo tire yesterday long day office dinner crashed,-1,1,1,-1
wow look incredible wicked job butterfly theyre fantastic,1,0,1,1
omg taylor london near scotland please come visit glasgow,1,-1,1,1
want hear something funny im radio right,1,-1,1,1
agree like new pic,1,0,1,1
yay st traffic,0,1,1,1
yeah awww wear mask na,0,0,1,0
seem grandmother found way break house go go fix woman,-1,0,0,-1
blow away rain harder yay well do,0,1,1,0
boo get rain beach,-1,0,0,0
drinking cause need im sick,0,0,-1,-1
watch season episode house bed great bedtime story,1,-1,1,1
would awesome think hate expensive phone,0,1,1,0
ill give link quite handy,1,0,-1,0
try think something calm peaceful relax beach,1,0,1,1
_ im watch th harry potter,0,0,0,0
im leave behind,0,1,-1,0
thought cavs would crush magic come home north realize wrong,-1,0,-1,-1
base may th may force today star war day,0,0,-1,-1
excite week,1,-1,1,1
hey thank youre welcome must say love travel,1,1,1,1
ran mile mcdonalds ran mile back would burn double sausage egg lol,0,0,1,0
rain chocolate world,0,1,0,0
smell maybe toast something delicious one place cooking,0,1,1,1
come cold day ago wicked nice feel like need winter coat back,0,0,1,1
gutted isnt go tonight,-1,0,0,-1
super online,1,0,1,0
three hour hair still wont straight,-1,1,-1,0
could post link internet version time read,0,-1,0,0
want real key back,0,-1,1,0
cause there party,0,0,1,0
quiet twitterland day,0,1,0,0
friday night work,0,-1,0,0
yes youtube may th make feel x well,1,-1,1,1
way home prom fun,1,1,1,1
dont ship japan,0,-1,0,0
fully yell say dnt stupid grow stop band throw remote thnks love u,-1,0,-1,0
live live dj bb click,0,-1,0,0
lol haha fresh death lol ha ha love miss u id almost give ï½ u cuz u nvr respond u today luv u,0,0,1,0
sorry hear good vibe way,0,1,1,0
im twitter mobile lol im slow,0,1,1,-1
oh make sense well officially first celebrity,1,-1,1,1
want go apparently one available,0,1,1,0
gloomy day cant stop hope score match today,1,0,-1,0
woo hoo time play name,0,0,1,1
thank ako,1,-1,1,1
nearly fell asleep bed massive panic attack im sure sleep,-1,-1,-1,-1
wow drank drink water ice cube take age melt brian freeze,-1,0,1,0
ya know today suck rain magic friday whats goin tonight,-1,0,-1,-1
cant believe closing moro ive never chance see show good luck everyone star,0,-1,1,0
really degree high im way work lake tomorrow go especially bomb sauce,-1,1,-1,-1
hell lot say shouldnt complain day help case,-1,-1,-1,-1
nice big music fancy dream land,1,1,1,1
stupid ruin theatre class dont get play game rest school year,-1,1,-1,-1
good question could,0,-1,1,1
p team end world hope great race,0,-1,1,1
hopefully today work favor,1,-1,1,1
good day work lot sale bos foot shes nice person dont like bos,0,1,1,0
picture format sorry message board u dont play wu board,-1,1,1,-1
last tonight show jay leno tonight,0,0,0,0
still feel blah give need hour ago im take last exam junior year,-1,-1,-1,-1
hear tonight last show,0,1,0,0
watch downstairs get ready bed piano morning,0,-1,1,0
mind calm heart happy life good would ok take breath away,0,1,1,1
homeless st,-1,-1,0,-1
beer oh wait im work,0,-1,0,0
love self keep simple learn chi aim today beat ankle less swollen vacation,1,1,1,1
finish lunch,0,-1,0,0
dream last night sing first dream away,-1,-1,1,0
go grandpa place lunch celebrate th found change chinese bring,0,0,1,0
ooh like im planning spending night well,0,1,1,1
let,0,0,0,0
chillin,1,-1,0,1
true im get good o_o,1,-1,1,1
know love,1,-1,1,1
omg rat star,0,1,0,-1
cat fell bed lmfao bless get,0,-1,1,0
ill try thanks,1,0,0,1
interest day yesterday wonder today crazy hope still aka,1,1,1,1
last blog publish web weekly next issue,0,-1,0,0
babysitting tonight miss kid,-1,0,-1,-1
told would haha p,1,1,1,0
follow u lol,0,0,1,0
happy help,1,0,1,1
rid time rainy week havent able make go gym instead,-1,1,-1,0
macbook die switch iphone,-1,0,-1,-1
pass away sleep,-1,1,0,-1
go texas day,0,-1,0,0
ow hurt,-1,-1,-1,-1
none thought make sense im sober,-1,0,0,-1
cool look forward san francisco really nice didnt make though maybe next time,1,1,1,1
time take test,0,0,0,0
go last theater lunch im gon na cry,-1,0,-1,-1
im still think meal miss yesterday,-1,0,-1,-1
feel believe keep mind never ever gon na think let go,0,-1,0,0
bummer go try make im afraid get way next time hopefully,0,1,1,0
kind help need machine may bea able help,1,0,1,1
twitter tweet tweet,0,1,0,0
britain get good weather wish,1,-1,1,1
really sure need save money,-1,-1,1,0
awww,1,0,0,0
lose link sent pull battery,-1,1,-1,-1
goodmorning hope everyone beautiful day today x,1,1,1,1
english well part weather,0,-1,-1,0
huge hit skip shopping afterwards let see kind trouble get,0,0,1,0
watch missy video collection sad told look like high school,-1,1,-1,-1
love,1,-1,1,1
thanks shout might right starve thing little lol,1,-1,1,1
one north one go,0,0,0,0
relax movie treat,1,1,1,1
wasnt near,0,0,0,0
ie near accord ff rate,1,-1,1,0
hey call week get ta go hang could use,0,1,0,0
change mind dammit change mind time without notice,-1,1,0,-1
frank black show sd trip make,1,-1,0,0
internet like th grade fast die,-1,-1,-1,-1
page im do eclipse,0,1,0,0
play machine,0,1,1,0
tire didnt really excite saturday oh well hope well tomorrow,0,0,1,0
woo hoo congratulation,1,1,1,1
day go way fast,0,-1,0,0
hey whats u like new episode jonas,0,-1,1,0
would love slice summer stand think could jump trampoline,1,1,1,1
word perfect run right,1,-1,1,1
doesnt want play push daisy dvd want make icon copy go,0,1,-1,0
look little fry fun paul,1,-1,1,0
yes change name setting,0,1,1,0
get excite hang go alone never mind lose,0,0,1,-1
sick doesnt seem like im get well,-1,1,-1,-1
sell store dont think,0,-1,0,0
right fake shouldnt mess real one ahhh love real excite,1,-1,1,1
head hurt beyond much,-1,1,-1,-1
really cuz say n main station doesnt even hav,0,-1,0,0
work really slow beautiful day friday,1,1,1,1
thank sister,1,-1,1,1
lucky winter come u,1,0,1,1
sister suppose meeting today birmingham please reschedule,0,1,1,0
think ima gon na clean room need read good book sense come beat lily,1,0,1,1
nah single person post tweet day hard android phone im unable,-1,-1,-1,-1
haha happy star war day may th clever,1,1,1,1
dont see u see list cause dont,0,1,0,0
wish dallas family,0,0,1,1
please please please please let match cancel today please,1,0,1,0
tryin figure direct message gettin frustrate,-1,1,-1,-1
way see star trek,0,-1,0,0
home alone much,0,0,-1,0
doesnt come toy anymore jus thinkin wrong kind say aint mo,0,0,1,0
sunburn watch,1,-1,1,-1
happy mother day,1,1,1,1
miss,-1,-1,-1,-1
lunch horse beer,0,0,0,0
put computer ive case monitor speaker year,0,1,0,0
sound good say hi run im always always coffee,1,-1,1,1
lol year born lol,0,-1,1,0
miss rich,-1,1,1,-1
dont know today amaze weather im sit great,0,0,1,1
think like,1,-1,1,0
hello new welcome new home,0,0,1,1
make,0,-1,0,0
im ill home fast possible meeting,-1,1,-1,0
properly drag week,-1,-1,-1,-1
boil,0,-1,0,0
make sense id totally show girlfriend ask wear high school prom dress,1,-1,0,1
burger found new old camera play though thats excellent,1,-1,1,1
happy see spin,1,1,1,1
know probs drive bit always get time ac year bit sea go,0,1,0,0
im need second job hear anything food service please please please think,1,-1,1,0
do time finally start shut,0,0,0,0
oh girl get baby go bed pm,0,-1,0,0
drop like nobody business good time go,-1,1,1,1
go head bed hopefully dream thing,1,1,1,1
get excite thought sydney,-1,1,1,1
sleepy time happy mother day current future mom around,1,1,1,1
day like,0,1,1,0
traffic back,0,1,0,0
read paper yet magic loss get watch game last night know lose,-1,1,-1,-1
graphic make business im twitter,0,0,0,0
thank prove point,1,1,1,1
im glad get clear lah idk hate though,0,1,1,0
adam rock must win american idol,1,-1,1,0
yay finish journal gon na go sleep church tomorrow yay dont forget mother day,1,0,1,1
eat oreo milk,0,0,0,0
im gon na miss half country apart,-1,-1,-1,-1
twitter sooo quiet today,0,-1,0,0
fix bike chain way bloody mess lovely weather though,-1,0,-1,-1
texted hope know favorite,1,-1,1,1
ok twitter show,0,1,1,0
field day gt win,0,1,1,0
